journal,role,name,affiliation
"Global Review of Humanities, Arts, and Society",Co-Editor-in-Chief,Dr. Haipeng Zhao,"School of Public Policy and Management, Tsinghua University, Beijing, China"
"Global Review of Humanities, Arts, and Society",Associate Editor,Dr. Qilun Hu,"School of Communications, College of Social Sciences, Kookmin University, Seoul, South Korea"
"Global Review of Humanities, Arts, and Society",Associate Editor,Dr. Haoqi Luo,"School of Public Administration, Chongqing University, Chongqing, China"
"Global Review of Humanities, Arts, and Society",Assistant Editor,Zhili Zhu,"School of Marxism, Xiamen University, Xiamen, China"
"Global Review of Humanities, Arts, and Society",Assistant Editor,Fangting Xu,"Department of Art and Media Convergence, The Catholic University of Korea, South Korea"
Journal of Engineering Systems and Applications,Editor-in-Chief,Zeyu Wang,"Kyung Hee University, South Korea"
Journal of Engineering Systems and Applications,Associate Editor,Jiarui Li,"Imperial College London, United Kingdom"
Journal of Engineering Systems and Applications,Associate Editor,Shaolong Wei,"Nantong University, China"
Journal of Engineering Systems and Applications,Associate Editor,Xuan Zhao,"Shihezi Vocational and Technical College, China"
Journal of Engineering Systems and Applications,Editorial Board Member,Zhihao Weng,"Zhejiang Jinhua Technology & Trade Polytechnic, China"
"Journal of Law, Psychology, and Communication Studies",Editor-in-Chief,Qilun Hu,"Kookmin University, South Korea"
"Journal of Law, Psychology, and Communication Studies",Co-Editor-in-Chief,Sheng Zhong,"Nanjing University of the Arts, China"
"Journal of Law, Psychology, and Communication Studies",Co-Editor-in-Chief,Yingli Piao,"Kookmin University, South Korea"
"Journal of Law, Psychology, and Communication Studies",Deputy Editor-in-Chief,Yujia Lu,"American University, United States"
"Journal of Law, Psychology, and Communication Studies",Deputy Editor-in-Chief,Xiaoxi Zhai,"Newcastle University, United Kingdom"
"Journal of Law, Psychology, and Communication Studies",Deputy Editor-in-Chief,Qimeng Dang,"Kookmin University, South Korea"
"Journal of Law, Psychology, and Communication Studies",Deputy Editor-in-Chief,Nuo Chen,"Kookmin University, South Korea"
"Journal of Law, Psychology, and Communication Studies",Chair of the Editorial Board,Qimeng Dang,"Kookmin University, South Korea"
"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,Linhui Huang,"South China Normal University, China"
"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,Alan Pan,"Department of Cognitive Psychology, Leiden University"
"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,Danni Tang,"University of Liverpool, United Kingdom"
"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,Haipeng Zhao,"Tsinghua University, China"
"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,Jinlai Zhou,"Institute of Industrial Economics, CASS, China"
"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,Jun Gui,"Guangzhou Huali College, China"
"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,Peng Zhu,"Sejong University, South Korea"
"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,Pengcheng Wang,"Kyung Hee University, South Korea"
"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,Raul Zeyi Huang,International Finance Corporation
"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,Shanliang Xu,"Harbin Institute of Technology, China"
"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,Yiu Kwong Au-Yeung,"University of Metaphysical Sciences, United States"
"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,Yun Pei,"Emilio Aguinaldo College, Philippines"
"Journal of Law, Psychology, and Communication Studies",Guest Editor,Novichkova Mariia,"Moscow City University, Russia"
"Journal of Law, Psychology, and Communication Studies",Guest Editor,Savina Lera,"Kazan Federal University, Russia"
"Journal of Law, Psychology, and Communication Studies",Guest Editor,Potemkin Petr,"Bauman Moscow State Technical University, Russia"
"Journal of Law, Psychology, and Communication Studies",Guest Editor,Xiang Li,"Newcastle University, United Kingdom"
